Vgs1 (V) =	-8.878744E-6	Vgs2 (V) =	2.110000E+1	Vgs3 (V) =	1.000043E+1	Vgs4 (V) =	1.500048E+1	Vgs5 (V) =	1.999972E+1	Vgs6 (V) =	2.499975E+1	Vgs7 (V) =	3.000160E+1	Vgs8 (V) =	3.500644E+1	Vgs9 (V) =	4.001132E+1	
Igs1 (A) =	-2.037970E-9	Igs2 (A) =	-4.833737E-7	Igs3 (A) =	-9.679181E-8	Igs4 (A) =	1.776112E-10	Igs5 (A) =	4.647484E-10	Igs6 (A) =	4.083658E-10	Igs7 (A) =	-1.755971E-11	Igs8 (A) =	5.147313E-10	Igs9 (A) =	3.746271E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
1.30236200E+1	4.30740200E-6	1.30238600E+1	6.03790200E-7	1.30234700E+1	2.12700400E-6	1.30238800E+1	4.64522500E-6	1.30244000E+1	8.22741200E-6	1.30234200E+1	1.30115200E-5	1.30232800E+1	1.89025000E-5	1.30233100E+1	2.57899900E-5	1.30235200E+1	3.48685800E-5
1.35230700E+1	4.59835400E-6	1.35232000E+1	6.09747000E-7	1.35227100E+1	2.15557300E-6	1.35231300E+1	4.74930900E-6	1.35235800E+1	8.43397900E-6	1.35227100E+1	1.33459900E-5	1.35227200E+1	1.94446100E-5	1.35230500E+1	2.66065900E-5	1.35227900E+1	3.59591500E-5
1.40223100E+1	4.90524600E-6	1.40224000E+1	6.14933200E-7	1.40221400E+1	2.17908900E-6	1.40223000E+1	4.83767900E-6	1.40227500E+1	8.61799300E-6	1.40220500E+1	1.36513500E-5	1.40219600E+1	1.99474200E-5	1.40221000E+1	2.74015700E-5	1.40220700E+1	3.69925900E-5
1.45250900E+1	5.26156100E-6	1.45251900E+1	6.19978900E-7	1.45243700E+1	2.19906300E-6	1.45249200E+1	4.91210400E-6	1.45258300E+1	8.78386100E-6	1.45246100E+1	1.39303000E-5	1.45250100E+1	2.04161700E-5	1.45248300E+1	2.81692000E-5	1.45247000E+1	3.79680300E-5
1.50246400E+1	5.61857000E-6	1.50244300E+1	6.24095300E-7	1.50239400E+1	2.21753700E-6	1.50243900E+1	4.97310600E-6	1.50251500E+1	8.92945600E-6	1.50238400E+1	1.41822400E-5	1.50240000E+1	2.08477900E-5	1.50244600E+1	2.88869400E-5	1.50241700E+1	3.88872800E-5
1.55235700E+1	5.93418100E-6	1.55236600E+1	6.27888900E-7	1.55232100E+1	2.23449900E-6	1.55234500E+1	5.02515700E-6	1.55243400E+1	9.05718200E-6	1.55229500E+1	1.44161400E-5	1.55230600E+1	2.12468700E-5	1.55233300E+1	2.95501200E-5	1.55232500E+1	3.97531400E-5
1.60228100E+1	6.33218000E-6	1.60230800E+1	6.31363500E-7	1.60224400E+1	2.24778500E-6	1.60229300E+1	5.07007700E-6	1.60235200E+1	9.17150600E-6	1.60223800E+1	1.46312300E-5	1.60224000E+1	2.16173000E-5	1.60226400E+1	3.01654200E-5	1.60225000E+1	4.05847600E-5
1.65218600E+1	6.73423300E-6	1.65221300E+1	6.34895000E-7	1.65214100E+1	2.25935300E-6	1.65218000E+1	5.10946800E-6	1.65226300E+1	9.27277600E-6	1.65214200E+1	1.48249400E-5	1.65215500E+1	2.19642900E-5	1.65217000E+1	3.07444500E-5	1.65215000E+1	4.13735900E-5
1.70215100E+1	7.14250100E-6	1.70212500E+1	6.38023000E-7	1.70205100E+1	2.26955400E-6	1.70210300E+1	5.14382500E-6	1.70217000E+1	9.36354400E-6	1.70207100E+1	1.50053900E-5	1.70209200E+1	2.22892200E-5	1.70207400E+1	3.12894200E-5	1.70208000E+1	4.21238300E-5
1.75243000E+1	7.60784900E-6	1.75239600E+1	6.41153700E-7	1.75237900E+1	2.27908300E-6	1.75240200E+1	5.17496900E-6	1.75247100E+1	9.44611100E-6	1.75234200E+1	1.51800700E-5	1.75237200E+1	2.26034800E-5	1.75237500E+1	3.18063100E-5	1.75236800E+1	4.28554300E-5
