Vds1 (V) =	1.412507E-4		Vds2 (V) =	4.924248E-1		Vds3 (V) =	2.000190E+1		Vds4 (V) =	3.002063E+1		Vds5 (V) =	4.002377E+1		Vds6 (V) =	5.002155E+1		Vds7 (V) =	6.002262E+1		Vds8 (V) =	7.002373E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
1.09998500E+1	-2.67635600E-10	7.26665800E-10	1.09998700E+1	1.21579400E-6	9.77906600E-10	1.09998700E+1	1.26642300E-6	4.51229800E-10	1.09998600E+1	1.28195700E-6	4.08933900E-10	1.09998700E+1	1.29420300E-6	4.37787200E-10	1.09998500E+1	1.32011800E-6	3.47326200E-10	1.09998700E+1	1.81502300E-6	-1.81007300E-10	1.09998600E+1	3.01700300E-6	-8.25556000E-9
1.15000600E+1	-3.51094600E-10	6.54001900E-10	1.15000900E+1	1.32686900E-6	4.29381600E-10	1.15000800E+1	1.41113600E-6	4.78682900E-10	1.15000900E+1	1.42818900E-6	4.95457400E-10	1.15000900E+1	1.44584900E-6	4.03557100E-10	1.15001000E+1	1.46232200E-6	3.67205400E-10	1.15000800E+1	2.00050300E-6	-3.26125600E-10	1.15000900E+1	3.23188600E-6	-7.90117300E-9
1.20006000E+1	-3.64266800E-10	6.69034900E-10	1.20006100E+1	1.45106300E-6	3.96362400E-10	1.20006300E+1	1.56697800E-6	4.18817100E-10	1.20006200E+1	1.58908800E-6	4.26124700E-10	1.20006300E+1	1.60754700E-6	4.67777400E-10	1.20006000E+1	1.62025400E-6	3.68871700E-10	1.20006000E+1	2.17831700E-6	-1.32760900E-10	1.20005900E+1	3.56912500E-6	-7.68425200E-9
1.25005000E+1	-3.44593500E-10	7.81761300E-10	1.25005100E+1	1.58585900E-6	4.98751700E-10	1.25005000E+1	1.73793400E-6	5.53202800E-10	1.25005400E+1	1.76411700E-6	5.41881000E-10	1.25005100E+1	1.78793800E-6	4.91065000E-10	1.25005200E+1	1.79386800E-6	4.06018100E-10	1.25005400E+1	2.36957100E-6	-1.50976300E-10	1.25005100E+1	3.82533500E-6	-7.28793800E-9
1.29999600E+1	-2.33230500E-10	6.94026000E-10	1.29999600E+1	1.73244300E-6	5.36049700E-10	1.29999600E+1	1.92319100E-6	4.68231600E-10	1.29999800E+1	1.95281500E-6	4.95116700E-10	1.29999800E+1	1.98097000E-6	5.81450800E-10	1.29999700E+1	1.98286900E-6	3.80117900E-10	1.29999800E+1	2.56691300E-6	-3.29729900E-11	1.29999600E+1	3.98273400E-6	-5.92351700E-9
1.34994500E+1	-4.14802800E-10	7.02432300E-10	1.34994600E+1	1.88905200E-6	4.61529400E-10	1.34994600E+1	2.11975200E-6	4.94018500E-10	1.34994600E+1	2.15676100E-6	4.80386900E-10	1.34994700E+1	2.18798600E-6	5.12004700E-10	1.34994700E+1	2.18878500E-6	3.81518800E-10	1.34994700E+1	2.77141200E-6	-1.57111300E-10	1.34994700E+1	4.23215200E-6	-4.89863700E-9
1.39999200E+1	-2.75360900E-10	8.00277700E-10	1.39999400E+1	2.05358500E-6	5.77323400E-10	1.39999200E+1	2.32932200E-6	5.07726000E-10	1.39999400E+1	2.37868600E-6	4.94511000E-10	1.39999300E+1	2.40970300E-6	5.89136800E-10	1.39999300E+1	2.41275600E-6	5.36466000E-10	1.39999400E+1	3.00251300E-6	-8.66029500E-12	1.39999400E+1	4.59088600E-6	-4.93075200E-9
1.45001300E+1	-2.72870300E-10	7.23636700E-10	1.45001200E+1	2.23064700E-6	5.93151300E-10	1.45001200E+1	2.55093400E-6	4.61378000E-10	1.45001300E+1	2.61851700E-6	4.97994500E-10	1.45001200E+1	2.64875600E-6	5.60322000E-10	1.45001400E+1	2.64817300E-6	5.16624200E-10	1.45001200E+1	3.24972100E-6	-7.88336100E-11	1.45001400E+1	4.98372000E-6	-4.87395000E-9
1.50004800E+1	-2.98494700E-10	7.50294500E-10	1.50004900E+1	2.41617300E-6	5.46500500E-10	1.50004800E+1	2.78670700E-6	4.94699900E-10	1.50004800E+1	2.87369700E-6	3.80799400E-10	1.50004900E+1	2.90467800E-6	4.90231700E-10	1.50004800E+1	2.90443200E-6	4.95457300E-10	1.50004700E+1	3.50829400E-6	-7.77354300E-11	1.50004700E+1	5.40608300E-6	-5.10260500E-9
1.54999200E+1	-3.24077000E-10	8.20233200E-10	1.54999200E+1	2.60975000E-6	6.29881100E-10	1.54999100E+1	3.03845900E-6	5.74104700E-10	1.54999100E+1	3.14215600E-6	5.35935200E-10	1.54999100E+1	3.17798000E-6	6.04662300E-10	1.54999100E+1	3.18075400E-6	5.27302600E-10	1.54999200E+1	3.78020400E-6	2.79222000E-11	1.54999100E+1	5.85847700E-6	-5.11767700E-9
