Vgs1 (V) =	-2.064548E-5	Vgs2 (V) =	4.999889E+0	Vgs3 (V) =	1.000030E+1	Vgs4 (V) =	1.500037E+1	Vgs5 (V) =	1.999959E+1	Vgs6 (V) =	2.499847E+1	Vgs7 (V) =	3.000044E+1	Vgs8 (V) =	3.500514E+1	Vgs9 (V) =	4.000999E+1	
Igs1 (A) =	-1.947870E-9	Igs2 (A) =	1.285369E-10	Igs3 (A) =	4.341896E-10	Igs4 (A) =	4.981444E-10	Igs5 (A) =	6.987573E-10	Igs6 (A) =	5.241204E-10	Igs7 (A) =	-1.146203E-10	Igs8 (A) =	5.747463E-10	Igs9 (A) =	4.977657E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
1.30239500E+1	5.70754800E-7	1.30236500E+1	3.29641900E-6	1.30243700E+1	7.91279800E-6	1.30234300E+1	1.30260400E-5	1.30234800E+1	2.31750500E-5	1.30238000E+1	3.41490800E-5	1.30237500E+1	4.77664500E-5	1.30242100E+1	6.38759900E-5	1.30245000E+1	8.29053900E-5
1.35233500E+1	5.73153400E-7	1.35230100E+1	3.32329800E-6	1.35237100E+1	8.02036900E-6	1.35227200E+1	1.33073300E-5	1.35228200E+1	2.36490600E-5	1.35230800E+1	3.50570800E-5	1.35233400E+1	4.91014800E-5	1.35237200E+1	6.57564200E-5	1.35238500E+1	8.54862100E-5
1.40224400E+1	5.76046400E-7	1.40221700E+1	3.34962500E-6	1.40230800E+1	8.11803000E-6	1.40217300E+1	1.36168400E-5	1.40217200E+1	2.41118200E-5	1.40221500E+1	3.59194700E-5	1.40221600E+1	5.03879400E-5	1.40227100E+1	6.75929300E-5	1.40227900E+1	8.79829300E-5
1.45253400E+1	5.78794300E-7	1.45251400E+1	3.37203000E-6	1.45254300E+1	8.20905600E-6	1.45248200E+1	1.39548600E-5	1.45248600E+1	2.45936700E-5	1.45250000E+1	3.67426900E-5	1.45250900E+1	5.16386600E-5	1.45255200E+1	6.94065700E-5	1.45258000E+1	9.04535300E-5
1.50245300E+1	5.81686500E-7	1.50241900E+1	3.39420600E-6	1.50250400E+1	8.29420300E-6	1.50237300E+1	1.42329200E-5	1.50241300E+1	2.50475300E-5	1.50244100E+1	3.75171300E-5	1.50246400E+1	5.28291900E-5	1.50247100E+1	7.11485400E-5	1.50250100E+1	9.28258200E-5
1.55241000E+1	5.84118300E-7	1.55233100E+1	3.41309000E-6	1.55243700E+1	8.37334800E-6	1.55231700E+1	1.43894100E-5	1.55232800E+1	2.54684800E-5	1.55234500E+1	3.82608200E-5	1.55237800E+1	5.39862300E-5	1.55245100E+1	7.28404800E-5	1.55240600E+1	9.51488700E-5
1.60231300E+1	5.86361900E-7	1.60226300E+1	3.43251300E-6	1.60234500E+1	8.44824800E-6	1.60222000E+1	1.45221700E-5	1.60223800E+1	2.58671500E-5	1.60229100E+1	3.89655500E-5	1.60230600E+1	5.51149400E-5	1.60234200E+1	7.44877500E-5	1.60234900E+1	9.73923700E-5
1.65220100E+1	5.88862300E-7	1.65217400E+1	3.45181600E-6	1.65226400E+1	8.51848600E-6	1.65214500E+1	1.46506000E-5	1.65216200E+1	2.62642800E-5	1.65219300E+1	3.96512000E-5	1.65221300E+1	5.61898700E-5	1.65225100E+1	7.60824500E-5	1.65224200E+1	9.95801800E-5
1.70213800E+1	5.91190300E-7	1.70208500E+1	3.47024700E-6	1.70218000E+1	8.58167800E-6	1.70208100E+1	1.48532700E-5	1.70207300E+1	2.66232600E-5	1.70209100E+1	4.03111100E-5	1.70212300E+1	5.72259400E-5	1.70216200E+1	7.76162800E-5	1.70218400E+1	1.01728700E-4
1.75241000E+1	5.93212000E-7	1.75236100E+1	3.48767500E-6	1.75247500E+1	8.64396600E-6	1.75234900E+1	1.50153300E-5	1.75235300E+1	2.69738500E-5	1.75238200E+1	4.09502000E-5	1.75240600E+1	5.82557700E-5	1.75245000E+1	7.91181000E-5	1.75247000E+1	1.03823800E-4
