Vds1 (V) =	1.463183E-4		Vds2 (V) =	2.155597E-1		Vds3 (V) =	2.000196E+1		Vds4 (V) =	3.002171E+1		Vds5 (V) =	4.002334E+1		Vds6 (V) =	5.002138E+1		Vds7 (V) =	6.002221E+1		Vds8 (V) =	7.002332E+1		
Vgs1 (V)	Ids1 (A)	Igs1 (A)	Vgs2 (V)	Ids2 (A)	Igs2 (A)	Vgs3 (V)	Ids3 (A)	Igs3 (A)	Vgs4 (V)	Ids4 (A)	Igs4 (A)	Vgs5 (V)	Ids5 (A)	Igs5 (A)	Vgs6 (V)	Ids6 (A)	Igs6 (A)	Vgs7 (V)	Ids7 (A)	Igs7 (A)	Vgs8 (V)	Ids8 (A)	Igs8 (A)	
1.09997400E+1	-2.84226400E-10	6.01706800E-10	1.09997400E+1	3.54360100E-6	4.33053200E-10	1.09997700E+1	4.03404500E-6	3.56375100E-10	1.09997600E+1	4.36540900E-6	3.45659000E-10	1.09997400E+1	5.06242100E-6	3.53307900E-10	1.09997500E+1	5.30847500E-6	3.56450600E-10	1.09997400E+1	6.21534200E-6	1.69280400E-10	1.09997600E+1	9.67826000E-6	3.16540200E-10
1.14999700E+1	-9.81856000E-11	6.64640500E-10	1.14999700E+1	3.87548900E-6	3.07755400E-10	1.14999800E+1	4.45332500E-6	3.56677900E-10	1.14999400E+1	4.81589300E-6	3.41115200E-10	1.14999800E+1	5.55053200E-6	2.75456000E-10	1.14999800E+1	5.80989300E-6	3.25476600E-10	1.14999700E+1	6.72223500E-6	2.64399000E-10	1.14999600E+1	1.03199000E-5	2.92798400E-10
1.20004900E+1	-1.97390800E-10	6.04016900E-10	1.20004900E+1	4.21435000E-6	3.51490400E-10	1.20004900E+1	4.90617500E-6	4.02987800E-10	1.20004900E+1	5.30562300E-6	3.86970600E-10	1.20004900E+1	6.03942300E-6	2.76743300E-10	1.20004900E+1	6.35713200E-6	4.58650200E-10	1.20005000E+1	7.28950500E-6	4.16808700E-10	1.20004800E+1	1.12340900E-5	1.00274400E-9
1.25004000E+1	-1.93042500E-10	6.88192400E-10	1.25004000E+1	4.58593700E-6	4.66981000E-10	1.25004100E+1	5.38502400E-6	3.64743700E-10	1.25003800E+1	5.83181400E-6	3.75118500E-10	1.25004100E+1	6.60428600E-6	2.80340600E-10	1.25004100E+1	6.94502300E-6	3.72164900E-10	1.25003900E+1	7.90241500E-6	3.49559300E-10	1.25003900E+1	1.17998500E-5	3.23356100E-10
1.29998500E+1	-2.17611500E-10	6.58392200E-10	1.29998400E+1	4.98293700E-6	4.83755400E-10	1.29998500E+1	5.90282600E-6	4.23359500E-10	1.29998300E+1	6.38837300E-6	4.24382000E-10	1.29998500E+1	7.19737600E-6	4.28017000E-10	1.29998500E+1	7.56168200E-6	3.46719200E-10	1.29998400E+1	8.50706500E-6	2.38461000E-10	1.29998400E+1	1.24578700E-5	2.44784700E-10
1.34993300E+1	-4.65995600E-11	5.86712400E-10	1.34993500E+1	5.39519900E-6	4.41232100E-10	1.34993600E+1	6.45368800E-6	5.03596900E-10	1.34993400E+1	6.98143800E-6	4.01208000E-10	1.34993400E+1	7.81433300E-6	4.07493700E-10	1.34993500E+1	8.24022900E-6	4.27259600E-10	1.34993400E+1	9.19675300E-6	4.16240900E-10	1.34993500E+1	1.31933600E-5	3.88144500E-10
1.39998300E+1	-1.59819500E-10	6.47524700E-10	1.39998100E+1	5.81610000E-6	5.13934500E-10	1.39998100E+1	7.03797900E-6	4.45586700E-10	1.39998000E+1	7.62061500E-6	3.77163400E-10	1.39998200E+1	8.49889500E-6	4.36612500E-10	1.39998300E+1	8.95665600E-6	4.81407600E-10	1.39998100E+1	9.95045200E-6	3.42061900E-10	1.39998400E+1	1.39535600E-5	3.71521400E-10
1.44999900E+1	-1.19504400E-10	6.80581400E-10	1.45000000E+1	6.27346400E-6	4.98977400E-10	1.45000000E+1	7.67662500E-6	4.91404300E-10	1.44999900E+1	8.29371600E-6	4.75273400E-10	1.45000000E+1	9.23703100E-6	4.76901100E-10	1.45000000E+1	9.71633700E-6	3.56829600E-10	1.45000100E+1	1.11734700E-5	1.49083300E-9	1.45000200E+1	1.48012000E-5	3.23431700E-10
1.50003700E+1	-5.66465500E-11	6.47449000E-10	1.50003700E+1	6.74529500E-6	4.74478200E-10	1.50003700E+1	8.31905300E-6	4.97046100E-10	1.50003700E+1	9.01178400E-6	4.35514400E-10	1.50003900E+1	1.00578500E-5	5.02612300E-10	1.50003600E+1	1.06811500E-5	6.19314900E-10	1.50003500E+1	1.19423600E-5	3.10368000E-10	1.50003700E+1	1.59131700E-5	6.51613900E-10
1.54998100E+1	-9.34579100E-11	6.04509200E-10	1.54997900E+1	7.24019600E-6	5.95345900E-10	1.54997900E+1	8.99863400E-6	5.15487000E-10	1.54998000E+1	9.76964500E-6	4.71524800E-10	1.54997700E+1	1.12058500E-5	1.04394100E-9	1.54998000E+1	1.14654600E-5	4.22564300E-10	1.54997900E+1	1.28203900E-5	5.30178800E-10	1.54998100E+1	1.69966500E-5	4.13552400E-10
